id,area,capability,ui_surface,legacy_guide,coverage,gaps,priority,since_v040,media,evidence,destination,reviewer,workstream
cam.add-menu,cam-setup,"Add operation menu: 2D and 3D groups, Rough/Finish/Both, info cards, select all compatible, unavailable-for-selection section",CAM panel → Add,cam-operations#adding-operations,incomplete,"The validity partition (#733) and 2D/3D grouping are missing; the pass button is ""Both"", not ""Rough + Finish"".",release-critical,changed,screenshot: add menu with unavailable section,src/components/cam/OperationAddMenu.tsx; src/components/cam/operationValidity.test.ts; i18n:cam.addMenu.*; i18n:cam.quickOp.*,/guide/cam-setup/working-with-operations/#adding,CAM planning,W3
cam.context-operations,cam-setup,"Create operation, Add to operation and Remove from operation from the feature context menu",Feature context menu,cam-operations#adding-operations,incomplete,Add to and Remove from operation are missing.,reference,no,none,src/components/cam/operationTargetLists.test.ts; i18n:featureTree.contextMenu.addToOperation,/guide/cam-setup/working-with-operations/#context-menu,CAM planning,W3
cam.operation-list,cam-setup,"Operations list: order by drag, duplicate, delete, enable, toolpath show/hide, generating and paused marks",CAM panel list,cam-operations#reordering-operations,incomplete,Only reordering is described.,release-critical,no,screenshot: operations list,i18n:cam.treeRow.*,/guide/cam-setup/working-with-operations/#list,CAM planning,W3
cam.operation-groups,cam-setup,"Operation property groups (Identity, What it cuts, Tool, Depth, Speeds & feeds, Strategy, Advanced overrides, Entry & retract, Corners, Drilling, Output) and parameter reference diagrams",Operation properties,interface#cam-panel;cam-operations#operation-parameters,stale,"Several pages still point at an ""Advanced"" section that was split into these groups.",release-critical,changed,screenshot: grouped properties,src/components/cam/operationFields.ts; src/components/cam/operationFields.test.ts; src/components/cam/OperationParameterReference.tsx,/guide/operations/common-parameters/,CAM planning,W3
cam.targets,cam-setup,"Operation targets: Use current selection, stock target source, region filters summary, validity hints",What it cuts group,cam-operations#reassigning-targets,incomplete,The stock target source and the validity hint catalogue are missing.,release-critical,no,none,src/components/cam/operationValidity.ts; i18n:cam.hint.*; i18n:cam.target.*,/guide/cam-setup/working-with-operations/#targets,CAM planning,W3
cam.generation,cam-setup,"Toolpath generation: automatic on visibility, status (up to date, generating, paused, failed), Stop/Resume/Retry, Compute backend (main thread or experimental background thread)",CAM panel gear menu; row marks,concepts#visibility,stale,Only says there is no Compute button; the generation settings menu (#734) is new.,release-critical,new,screenshot: generation settings menu,src/components/cam/GenerationSettingsMenu.tsx; src/app/toolpathGeneration/service.test.ts; e2e/generationBackend.smoke.spec.ts; i18n:appShell.generation.*,/guide/cam-setup/working-with-operations/#generation,CAM planning,W3
cam.cam-plan,cam-setup,"CAM Plan: recommended operations, tools, rest passes and shared tabs; coverage review; create operations",CAM panel → Plan,,missing,"New since v0.4.0 (#742, #770) and not documented. The planner is described internally as a POC, so #22 should decide preview labelling.",release-critical,new,"screenshots: plan dialog, coverage review",src/components/cam/CAMPlanDialog.tsx; src/components/cam/CAMPlanOperationEditor.tsx; src/engine/operations/camPlan/createCamPlan.test.ts; src/store/camPlanApply.test.ts; i18n:cam.plan.*,/guide/cam-setup/cam-plan/,CAM planning,W3
cam.tool-import,cam-setup,"Import tools from the bundled library (search, type and unit filters, multi-select)",Tools tab → Import from library,cam-tools#adding-tools,stale,Says 26 bundled sizes; public/tool-library.json now has 34. The site sample page repeats 26.,release-critical,changed,screenshot: library dialog,public/tool-library.json; src/toolLibrary.test.ts; src/components/cam/toolLibraryDialogModel.test.ts; e2e/toolLibraryDialog.smoke.spec.ts,/guide/cam-setup/tool-library/,CAM planning,W3
cam.tool-manage,cam-setup,"Add, duplicate and delete tools; tools used by an operation cannot be deleted",Tools tab,cam-tools#tools-overview;cam-tools#adding-tools;cam-tools#deleting-tools,accurate,"Check the button glyph descriptions (⧉, ✕) against the current icons.",release-critical,no,screenshot: tools list,i18n:cam.tools.*; src/store/addOperationTool.test.ts,/guide/cam-setup/tool-library/#managing,CAM planning,W3
cam.tool-properties,cam-setup,Tool properties,Tool properties,cam-tools#tool-properties,accurate,,release-critical,no,none,src/types/project.ts (Tool); i18n:cam.tool.*,/guide/cam-setup/tool-library/#properties,CAM planning,W3
cam.machine-selection,cam-setup,Choose a machine on the Project node; status badges,Project properties → Machine,cam-export#machine-selection;machine-library#status-badges,stale,Describes an Add machine button that loads JSON (now Manage machines → Import) and omits the Generic built-in.,release-critical,changed,screenshot: machine field with badge,src/engine/gcode/definitions/; i18n:featureTree.properties.machine.*,/guide/cam-setup/machines/,post/G-code,W3
cam.machine-library,cam-setup,"My Machines, built-in machines and the project copy",Manage machines dialog,machine-library#two-places;machine-library#my-machines;machine-library#sharing;machine-library#older-projects;machine-library#related,accurate,,release-critical,no,screenshot: manage machines,src/machine/registry.test.ts; src/machine/store.test.ts; e2e/machineLibrary.smoke.spec.ts,/guide/cam-setup/machines/#library,post/G-code,W3
cam.machine-updates,cam-setup,Machine definition update notices,Notice banner; manager comparison,machine-library#update-notice,accurate,,reference,no,screenshot: update notice,src/store/machineSnapshot.test.ts; i18n:dialogs.machineUpdate.*,/guide/cam-setup/machines/#updates,post/G-code,W3
cam.machine-editor,cam-setup,"Machine editor: General, Program, Tool change, Coolant, raw JSON, variables reference, validation",Machine editor dialog,cam-export#custom-machines,incomplete,Form sections and the variables reference are not described.,reference,no,screenshot: machine editor,src/components/machine/machineDefinitionForm.test.ts; i18n:dialogs.machineEditor.*,/guide/cam-setup/machines/#editor,post/G-code,W3
cam.clearances,cam-setup,"Clearances: Safe Z, Op clear Z, Clamp clear XY, Clamp clear Z",Project properties,cam-export#clearances,accurate,,release-critical,no,none,src/types/project.ts (ProjectMeta); i18n:featureTree.properties.safeZ,/guide/cam-setup/clamps-and-clearances/#clearances,post/G-code,W3
cam.tabs,cam-setup,"Tabs: auto place, manual add, rectangular or smooth shape, bulk edit, and tab warnings",Tabs node; edge route Tabs,cam-tabs-clamps#tabs-overview,incomplete,"Missing the warnings (tabs block final depth, outside cut Z, edge routes only) and the trochoidal smooth-to-rectangular fallback.",release-critical,no,screenshot: smooth vs rectangular crossing,src/engine/toolpaths/tabs.test.ts; src/engine/toolpaths/tabSmoothing.test.ts; src/store/tabShape.test.ts; e2e/bulkProperties.smoke.spec.ts; i18n:warnings.tabsBlockFinalDepth,/guide/cam-setup/tabs/,CAM toolpaths,W3
cam.clamps,cam-setup,"Clamps: placement, collision highlighting, toolpaths kept clear at generation (material left uncut), drilling skipped under clamps",Clamps node,cam-tabs-clamps#clamps-overview,stale,Says clamps only affect rapid moves; since #731 generation also keeps cuts clear of clamps and reports the uncut material.,release-critical,changed,screenshot: clamp avoidance warning,src/engine/toolpaths/clampAvoidance.test.ts; src/engine/toolpaths/clamps.test.ts; i18n:warnings.clampBlockedCut; i18n:warnings.drillSkippedUnderClamp,/guide/cam-setup/clamps-and-clearances/,CAM toolpaths,W3
ops.choosing,operations,Choosing an operation and its target requirements,Add menu hints,cam-operations#choosing;cam-operations#feature-requirements;cam-operations#operation-types,stale,"V-carve accepts closed line features; engrave treats regions as filters, not targets; 3D finish needs exactly one model; STEP models count as models; trochoidal pocket is missing.",release-critical,changed,diagram: goal → operation table,src/components/cam/operationValidity.ts; src/components/cam/operationValidity.test.ts; i18n:cam.hint.*,/guide/operations/,CAM toolpaths,W3
ops.common-parameters,operations,"Common parameters: name, description, pass, enabled, tool defaults, feed, plunge feed, RPM, machining order, cut direction, stock to leave, finish walls/floor",Operation properties,cam-operations#operation-parameters,incomplete,The description field and per-kind field visibility are not covered.,release-critical,no,none,src/components/cam/operationFields.ts; src/store/helpers/operationDefaults.test.ts,/guide/operations/common-parameters/,CAM toolpaths,W3
ops.pocket,operations,Pocket,Operation kind pocket,cam-operations#operation-types;cam-operations#operation-parameters,stale,Missing the trochoidal pattern and XY approach & exit. Uses old field names (Round Outside/Link/Clean Wall Corners). Clearing into non-target subtracts (#737) is not explained.,release-critical,changed,screenshot: pocket toolpath; example image exists in app,src/engine/toolpaths/pocket.ts; src/engine/toolpaths/pocketPatterns.test.ts; src/engine/toolpaths/resolverNonTargetSubtract.test.ts; public/operation-examples/pocket-example.png,/guide/operations/pocket/,CAM toolpaths,W3
ops.surface-clean,operations,Surface clean,Operation kind surface_clean,cam-operations#operation-types;cam-operations#operation-parameters,stale,"Describes facing the top of an add feature; the operation clears the area around taller add features at each step height, accepts model features, and offers the trochoidal pattern.",release-critical,changed,screenshot: surface clean bands,src/engine/toolpaths/surface.ts; src/engine/toolpaths/surface.test.ts; src/engine/toolpaths/surfaceRetainedMaterial.test.ts; i18n:cam.opDesc.surfaceClean.fullDescription,/guide/operations/surface-clean/,CAM toolpaths,W3
ops.edge-inside,operations,Edge route inside,Operation kind edge_route_inside,cam-operations#operation-types;cam-operations#operation-parameters,incomplete,Missing: regions are contour-only; XY approach needs a ramped entry; rest operations.,release-critical,no,screenshot: inside route,src/engine/toolpaths/edge.ts; src/engine/toolpaths/edgeEntryPolicy.test.ts; src/engine/toolpaths/xyLeadEdge.test.ts,/guide/operations/edge-route-inside/,CAM toolpaths,W3
ops.edge-outside,operations,Edge route outside,Operation kind edge_route_outside,cam-operations#operation-types;cam-operations#operation-parameters,incomplete,Accepts add or model features; the combined outer contour and mixed-depth warnings are not covered.,release-critical,no,screenshot: outside route with tabs,src/engine/toolpaths/edge.ts; src/engine/toolpaths/multiFeature.test.ts; i18n:warnings.edgeMixedDepthSpans,/guide/operations/edge-route-outside/,CAM toolpaths,W3
ops.vcarve-offset,operations,V-carve offset,Operation kind v_carve,cam-operations#operation-types;cam-operations#operation-parameters,stale,Targets include closed line features. Contour spacing and max carve depth need their current names and rules.,release-critical,no,screenshot: V-carve offset,src/engine/toolpaths/vcarve.ts; src/engine/toolpaths/vcarveLineResolver.test.ts; src/store/helpers/vcarveTargets.test.ts,/guide/operations/v-carve-offset/,CAM toolpaths,W3
ops.vcarve-medial,operations,V-carve medial,Operation kind v_carve_medial,cam-operations#operation-types;cam-operations#operation-parameters,stale,Documents a Step Size field that does not exist (sampling is automatic). Closed line targets are not mentioned.,release-critical,no,screenshot: V-carve medial,src/engine/toolpaths/vcarveMedial/vcarveMedial.test.ts; src/engine/toolpaths/vcarveMedial/resolution.test.ts; i18n:warnings.vcarveSamplingBudget,/guide/operations/v-carve-medial/,CAM toolpaths,W3
ops.engrave,operations,"Engrave: Direct or Trochoidal (slot), carve depth, top Z from the enclosing surface",Operation kind follow_line,cam-operations#operation-types;cam-operations#operation-parameters,incomplete,"Accurate core. Clarify that regions are filters, not targets.",release-critical,no,screenshot: engrave direct and slot,src/engine/toolpaths/carving.ts; src/engine/toolpaths/carving.test.ts; src/store/lineTopZFromEnclosingFeature.test.ts,/guide/operations/engrave/,CAM toolpaths,W3
ops.drill,operations,"Drill: simple, peck, dwell and chip-breaking cycles; retract height; hole order; canned-cycle support per machine",Operation kind drilling,cam-operations#operation-types;cam-operations#operation-parameters,incomplete,"Machines without canned cycles (Generic, GRBL, grblHAL) get expanded moves, and holes under clamps are skipped. Neither is covered.",release-critical,no,screenshot: drilling order,src/engine/toolpaths/drilling.ts; src/engine/toolpaths/drillingRetract.test.ts; src/engine/gcode/definitions/; i18n:warnings.postCannedCycleUnsupported,/guide/operations/drill/,CAM toolpaths,W3
ops.helical-boring,operations,Helical boring drill type,Drill type Helical,cam-operations#helical-boring,accurate,,reference,no,diagram: helical bore,i18n:warnings.drillHelical*,/guide/operations/drill/#helical,CAM toolpaths,W3
ops.countersink,operations,V-bit countersink drill type,Drill type Countersink,cam-operations#countersinking,stale,"The field is ""Countersink diameter"" (not ""Finished Mouth Diameter""), with a read-only ""Countersink depth"".",reference,no,diagram: countersink geometry,src/engine/toolpaths/drillingCountersink.test.ts; i18n:cam.operation.countersinkDiameter,/guide/operations/drill/#countersink,CAM toolpaths,W3
ops.3d-rough,operations,3D surface rough,Operation kind rough_surface,cam-operations#operation-types;cam-operations#operation-parameters,stale,Missing the trochoidal pattern and STEP models. Model cross-section protection (#785) and retained 2.5D material (#777) changed the behaviour.,release-critical,changed,screenshot: rough surface levels,src/engine/toolpaths/roughSurface.ts; src/engine/toolpaths/roughSurface.test.ts; src/engine/toolpaths/modelSection.ts; src/engine/toolpaths/surfaceRetainedMaterial.test.ts,/guide/operations/3d-surface-rough/,CAM toolpaths,W4
ops.3d-finish,operations,"3D surface finish: parallel, waterline, constant scallop; exactly one model",Operation kind finish_surface,cam-operations#operation-types;cam-operations#operation-parameters,stale,"Constant scallop, scallop height and the slope filter are missing.",release-critical,changed,screenshot: finish patterns side by side,src/engine/toolpaths/finishSurface.ts; src/engine/toolpaths/finishSurface.test.ts; src/engine/toolpaths/finishSurfaceConstantScallop.test.ts,/guide/operations/3d-surface-finish/,CAM toolpaths,W4
ops.3d-cleanup,operations,3D surface cleanup: finish-only walls and floors at retained step depths,Operation kind finish_surface_cleanup,cam-operations#operation-types;cam-operations#operation-parameters,stale,"The legacy description (removes material a finish missed) does not match the app (wall and floor passes at the deepest retained Z of each step, with independent toggles and a stock-to-leave warning).",release-critical,no,screenshot: cleanup passes,src/engine/toolpaths/finishSurfaceCleanup.ts; src/engine/toolpaths/finishSurfaceCleanup.test.ts; i18n:cam.opDesc.finishSurfaceCleanup.fullDescription,/guide/operations/3d-surface-cleanup/,CAM toolpaths,W4
strat.offset-parallel,strategies,Offset and parallel clearing patterns (angle; arc simplification),Strategy → Pattern,cam-operations#operation-parameters,accurate,,release-critical,no,diagram: offset vs parallel,src/engine/toolpaths/pocketPatterns.test.ts; src/engine/toolpaths/offsetSmoothing.test.ts,/guide/strategies/clearing-patterns/,CAM toolpaths,W4
strat.seeded-circles,strategies,Seeded circles clearing,Pattern Seeded circles,cam-operations#seeded-circle-clearing,accurate,,release-critical,no,screenshot exists (cam-seeded-circles.png),src/engine/toolpaths/seedClearing.test.ts; src/engine/toolpaths/seedLeftover.test.ts; src/engine/toolpaths/seedScheduling.test.ts,/guide/strategies/clearing-patterns/#seeded-circles,CAM toolpaths,W4
strat.trochoidal-pocket,strategies,"Trochoidal clearing for pocket, surface clean and 3D rough: cut width, advance, ring pitch, orbited ring links, tight spots",Pattern Trochoidal,,missing,"New since v0.4.0 (#718, #789, #790). Includes the finish-floor orbit rule and the corner-relief limitation.",release-critical,new,screenshots: trochoidal pocket rings and links,src/engine/toolpaths/pocketTrochoidal.test.ts; src/engine/toolpaths/trochoidalRingLinks.test.ts; src/types/project.ts (isTrochoidalPocket); i18n:warnings.pocketTrochoidal*,/guide/strategies/trochoidal-cutting/#clearing,CAM toolpaths,W4
strat.trochoidal-edge,strategies,Trochoidal edge routing,Edge route Strategy,cam-operations#trochoidal,accurate,Add the budget and tab-safety warnings.,release-critical,no,screenshot exists (cam-trochoidal-edge.png),src/engine/toolpaths/trochoidalEdge.test.ts; src/engine/toolpaths/trochoidalPointBudget.test.ts; i18n:warnings.edgeTrochoidal*,/guide/strategies/trochoidal-cutting/#edge-routes,CAM toolpaths,W4
strat.trochoidal-engrave,strategies,Trochoidal (slot) engraving and channel width,Engrave Strategy,cam-operations#trochoidal,accurate,,reference,no,none,src/engine/toolpaths/guideFragments.test.ts; i18n:warnings.carveTrochoidal*,/guide/strategies/trochoidal-cutting/#slots,CAM toolpaths,W4
strat.entry,strategies,"Entry strategy: plunge, helix, ramp; fallback; start from the previous floor",Entry & retract group,cam-operations#entry-moves,stale,"Says the controls are under Advanced → Entry and apply only to pocket, surface clean and 3D rough; edge routes also support them now.",release-critical,changed,"screenshots exist (cam-entry-helix.png, cam-entry-ramp.png) — re-shoot",src/engine/toolpaths/entry.ts (supportsEntryStrategy); src/engine/toolpaths/entry.test.ts; src/engine/toolpaths/edgeEntryPolicy.test.ts,/guide/strategies/entry-and-exit/,CAM toolpaths,W4
strat.xy-lead,strategies,XY approach & exit (tangent arc lead-in and lead-out) and when it falls back,Entry & retract → XY approach & exit,,missing,New since v0.4.0 (#715). Unavailable under region masks; edge routes need a ramped entry; applies only to ring-clearing roughing patterns.,release-critical,new,diagram: direct vs tangent arc approach,src/engine/toolpaths/xyLead.ts; src/engine/toolpaths/xyLead.test.ts; src/engine/toolpaths/xyLeadIntegration.test.ts; i18n:cam.operation.xyLeadStrategyTooltip; i18n:warnings.xyLead*,/guide/strategies/entry-and-exit/#xy-approach,CAM toolpaths,W4
strat.corner-rounding,strategies,"Round corners, round link junctions, round wall corners",Corners group,cam-operations#operation-parameters,stale,"Uses old names (Round Outside Corners, Round Link Corners, Clean Wall Corners).",reference,no,diagram: ring rounding vs links,src/engine/toolpaths/tangentLink.test.ts; src/engine/toolpaths/wallCornerCleanup.test.ts; i18n:cam.operation.roundOutsideCorners,/guide/strategies/corners/,CAM toolpaths,W4
strat.corner-relief,strategies,"Corner relief: dogbone, T-bone, T-bone longest edge; skipped corners",Corners → Corner relief,cam-operations#corner-relief,stale,The screenshot caption places it under Advanced; the group is Corners. Trochoidal pockets do not support it.,release-critical,no,screenshot exists (cam-corner-relief.png) — re-shoot,src/engine/toolpaths/cornerRelief.ts; src/engine/toolpaths/cornerRelief.test.ts; i18n:warnings.cornerRelief*,/guide/strategies/corners/#corner-relief,CAM toolpaths,W4
strat.feed-reduction,strategies,Feed reduction: slots only or by engagement; slot feed %,Speeds & feeds group,cam-operations#feed-reduction,accurate,,release-critical,no,screenshot exists (cam-feed-reduction-legend.png),src/engine/toolpaths/engagement.test.ts; src/engine/toolpaths/engagementPocket.test.ts; src/engine/toolpaths/feed.test.ts,/guide/strategies/feed-reduction/,CAM toolpaths,W4
strat.rest-machining,strategies,Rest machining: Create rest operation from a pocket or edge route; generated region; smaller tool; trochoidal edge unsupported,What it cuts → Rest machining,cam-operations#rest-machining,stale,Says rest regions are generated automatically when an edge route is added and omits pockets; it is an explicit button on pocket and edge-route operations.,release-critical,no,screenshot: rest operation result,src/store/createRestOperation.test.ts; src/engine/toolpaths/restRegions.ts; src/components/cam/operationFields.ts (restMachining); i18n:cam.restOp.*,/guide/strategies/rest-machining/,CAM toolpaths,W4
strat.waterline-refinement,strategies,"Waterline finish quality: adaptive refinement, adaptive spacing, max rings per band; budget warnings",Waterline finish fields,cam-operations#operation-parameters,stale,"Documents ""Micro Stepover"" and ""Refinement Threshold""; the UI exposes Adaptive refinement, Adaptive spacing and Max rings / band.",reference,no,screenshot exists (cam-3d-surface-waterline.png),src/engine/toolpaths/finishSurfaceWaterline.ts; src/engine/toolpaths/finishSurfaceWaterlineBudget.test.ts; i18n:cam.operation.adaptiveSpacing,/guide/strategies/3d-finishing/#waterline,CAM toolpaths,W4
strat.constant-scallop,strategies,Constant-scallop 3D finish,Pattern Constant scallop,,missing,"New since v0.4.0 (#707, #717).",release-critical,new,screenshot: constant scallop over a carved top,src/engine/toolpaths/finishSurfaceConstantScallop.ts; src/engine/toolpaths/finishSurfaceConstantScallop.test.ts; src/engine/toolpaths/constantScallopField.test.ts,/guide/strategies/3d-finishing/#constant-scallop,CAM toolpaths,W4
strat.scallop-height,strategies,Scallop height input for ball-endmill finishing and implied cusp readouts,Scallop height field,,missing,New since v0.4.0.,release-critical,new,diagram: scallop height,src/components/cam/ScallopHeightField.tsx; src/engine/toolpaths/scallopHeight.test.ts; i18n:cam.operation.scallopHeight*,/guide/strategies/3d-finishing/#scallop-height,CAM toolpaths,W4
strat.slope-filter,strategies,Finish slope filter (minimum and maximum slope),Strategy → Filter by surface slope,,missing,New since v0.4.0 (#703).,release-critical,new,screenshot: slope-limited finish,src/components/cam/SurfaceSlopeFields.tsx; src/engine/toolpaths/finishSurfaceSlope.test.ts; src/store/surfaceSlope.test.ts; i18n:cam.operation.slopeHelp,/guide/strategies/3d-finishing/#slope-filter,CAM toolpaths,W4
strat.model-protection,strategies,"Surface protection: model cross-section, retained 2.5D material, surrounding features, clamps and tabs",3D surface operations,cam-operations#operation-parameters,incomplete,"Changed after v0.4.0 (#777, #780, #785); the guide gives a one-line summary.",reference,changed,none,src/engine/toolpaths/modelProtection.ts; src/engine/toolpaths/retainedMaterial.ts; src/engine/toolpaths/surfaceRetainedMaterial.test.ts,/guide/strategies/3d-finishing/#protection,CAM toolpaths,W4
strat.subtract-fold,strategies,"How pockets treat overlapping and chained subtract features (non-target subtract fold, chain limit)",Pocket / V-carve / inside route results,,missing,"Behaviour changed after v0.4.0 (#737, #740, #751, #758). Users see the region-extended and chain-limit warnings without an explanation.",reference,changed,diagram: subtract fold,planning/BAND_RESOLVER_SEMANTICS.md; src/engine/toolpaths/resolverNonTargetSubtract.test.ts; src/engine/toolpaths/resolverSubtractChain.test.ts; i18n:warnings.subtractChainLimitReached,/guide/strategies/clearing-patterns/#overlapping-subtracts,CAM toolpaths,W4
verify.toolpath-legend,verify-export,"Toolpath legend: move-type toggles, shared collapse, clamp-collision amber",Viewport corner toolbar,sketch-toolpaths#overview;sketch-toolpaths#show-legend;sketch-toolpaths#shared-collapse;sketch-toolpaths#in-sketch;sketch-toolpaths#in-3d;view-3d#3d-toolpaths,accurate,Written partly as release notes.,release-critical,no,"screenshots exist (toolpath-legend.png, toolpath-sketch.png, toolpath-3d.png)",src/components/ToolpathVisibilityPanel.tsx; src/components/canvas/toolpathDisplay.test.ts; e2e/toolpathVisibility.smoke.spec.ts,/guide/verify-export/toolpath-preview/,simulation/3D,W5
verify.feed-colours,verify-export,Feed colours and the feed percentage legend,Legend → Feed colours,cam-operations#feed-reduction,accurate,Documented only on the operations page.,reference,no,screenshot exists,src/components/toolpathFeedLegend.test.ts; e2e/feedColours.smoke.spec.ts,/guide/verify-export/toolpath-preview/#feed-colours,simulation/3D,W5
verify.level-filter,verify-export,Toolpath level filter (planar Z-level preview),Legend → Toolpath level,,missing,New since v0.4.0 (#753).,release-critical,new,screenshot: level rail,src/components/ToolpathLevelRail.tsx; src/components/toolpathLevels.test.ts; i18n:appShell.toolpath.level,/guide/verify-export/toolpath-preview/#levels,simulation/3D,W5
verify.gpu-renderer,verify-export,"2D toolpath renderer: Canvas or GPU, suggestion tip, fallback and retry",Legend → 2D renderer,,missing,"New since v0.4.0 (#691, #696).",release-critical,new,screenshot: renderer toggle and tip,src/components/ToolpathRendererControl.tsx; src/components/canvas/toolpathRendererPreference.test.ts; src/components/canvas/toolpathGpuSuggestion.test.ts; i18n:appShell.toolpath.renderer*,/guide/verify-export/toolpath-preview/#renderer,simulation/3D,W5
verify.operation-warnings,verify-export,Toolpath warnings in operation properties; export errors vs warnings,Operation properties; export dialog,cam-operations#entry-moves;cam-operations#corner-relief,incomplete,"Warnings are mentioned per feature; there is no general ""reading warnings"" guidance.",release-critical,no,screenshot: warnings list,src/engine/toolpaths/warningCodes.ts; src/engine/toolpaths/warningCodes.test.ts; src/i18n/warningsCoverage.test.ts,/guide/verify-export/toolpath-preview/#warnings,CAM toolpaths,W5
verify.3d-view,verify-export,"3D view: CSG model, navigation, view presets and fit/reset menu, open features, imported models",3D tab,view-3d#3d-overview;view-3d#3d-navigation;view-3d#3d-model;view-3d#open-features;view-3d#imported-models,stale,Says double-click resets the view (there is no double-click handler; Reset view is in the camera menu). The view-preset menu is missing.,release-critical,no,"screenshots: 3D view, camera menu",src/components/viewport3d/viewPresets.test.ts; src/components/viewport3d/orbitControls.test.ts; e2e/viewportViews.smoke.spec.ts; i18n:viewport.presets.*,/guide/verify-export/3d-view/,simulation/3D,W5
verify.webgl-fallback,reference,When WebGL2 is unavailable or the context is lost (2D workspace stays usable),3D and Sim tabs,view-simulation#sim-performance,incomplete,Only simulation GPU notes; the #787 fallback messages are not covered.,release-critical,new,screenshot: WebGL unavailable message,src/components/viewport3d/webglRenderer.ts; src/components/viewport3d/webglContextGuard.test.ts; e2e/webglUnavailable.smoke.spec.ts; e2e/webglContextLoss.smoke.spec.ts,/guide/reference/troubleshooting/#webgl,simulation/3D,W5
verify.simulation,verify-export,"Simulation: selected/visible mode, detail, play tool, speed, step, progress, stop & reset, readouts, docking",Sim tab,view-simulation#sim-overview;view-simulation#sim-controls;view-simulation#sim-navigation;view-simulation#sim-gpu,incomplete,"Simulation mode (Selected vs Visible), Play tool and Step are missing. States that only visible operations are simulated.",release-critical,no,screenshots: playback bar,src/engine/simulation/playback.test.ts; src/engine/simulation/replay.test.ts; src/app/useSimulationModel.test.ts; i18n:viewport.sim.*,/guide/verify-export/simulation/,simulation/3D,W5
verify.sim-checklist,verify-export,"What to check in simulation, and its limits",Sim tab,view-simulation#sim-what-to-check;view-simulation#sim-performance,accurate,,release-critical,no,none,planning/SIMULATION_GPU_HEIGHTFIELD_DESIGN.md,/guide/verify-export/simulation/#checklist,simulation/3D,W5
verify.gcode-export,verify-export,"Export G-code dialog: machine, origin, units, operation checklist and defaults, M6/coolant options, errors and warnings, 30-line preview, export",Export dialog,cam-export#export-dialog;cam-export#what-is-exported,stale,"Describes a download of all enabled+visible operations with syntax highlighting; the dialog has a per-operation checklist (default: enabled, has a tool, visible) and output options.",release-critical,changed,screenshot: export dialog,src/components/export/ExportDialog.tsx; src/components/export/exportOperationSelection.test.ts; e2e/gcodeExport.smoke.spec.ts; i18n:dialogs.export.*,/guide/verify-export/gcode-export/,post/G-code,W5
verify.export-blocking,verify-export,"Why export is blocked or warned: tool changes disabled, missing tool, stale preview, canned-cycle and coolant fallbacks",Export dialog messages,,missing,#763 made a tool change without M6 an error.,release-critical,changed,none,src/components/export/exportBlockReason.ts; src/components/export/exportBlockReason.test.ts; i18n:warnings.post*,/guide/verify-export/gcode-export/#messages,post/G-code,W5
verify.exported-motion,verify-export,"Exported motion inspector: layers, move counts, verification; eligible when exactly one planar operation is selected",Export dialog → Inspect exported motion,cam-debug-view#why-a-debug-view;cam-debug-view#opening-the-inspector;cam-debug-view#motion-layers;cam-debug-view#move-counts;cam-debug-view#verification,stale,"The opening steps require ticking Debug toolpath, which production builds do not show; the button appears for a single eligible operation.",reference,no,screenshot exists (cam-debug-view-overlay.png),src/components/export/ExportDialog.tsx (inspectEligible); src/components/cam/CAMPanel.tsx (DEV-only debug toggle); src/engine/gcode/motionDebug.test.ts; e2e/motionDebug.smoke.spec.ts,/guide/verify-export/exported-motion/,post/G-code,W5
verify.arc-fitting,verify-export,"Arc fitting (G2/G3) per operation, machine capability, validated arc output",Output group → Arc fitting,cam-debug-view#arc-fitting-per-operation;cam-export#arc-validation,accurate,Name the Output group.,reference,no,none,src/engine/gcode/arcFitting.test.ts; src/engine/gcode/trochoidalArcExport.test.ts; i18n:warnings.postArc*,/guide/verify-export/exported-motion/#arc-fitting,post/G-code,W5
verify.linear-optimizer,verify-export,Always-on linear move optimizer,Export,cam-debug-view#why-a-debug-view,accurate,,reference,no,none,src/engine/toolpaths/linearMoveOptimization.test.ts,/guide/verify-export/exported-motion/#optimizer,post/G-code,W5
verify.booklet,verify-export,"Operation booklet PDF: entry point, contents, localized output",CAM panel → Export booklet (PDF),cam-export#operation-booklet,stale,Describes a Booklet field with an Export PDF button inside the parameters; export is a CAM panel header action.,reference,no,screenshot exists (cam-operation-booklet.png),src/engine/operationBooklet/operationBooklet.test.ts; i18n:booklet.*; i18n:cam.panel.exportBookletForOperation,/guide/verify-export/setup-booklets/,post/G-code,W5
verify.model-export-stl,verify-export,"Export model as STL (binary/ASCII, curve quality, include imported meshes)",Export model dialog,sketch-export#overview;sketch-export#export-model;view-3d#stl-export,accurate,,reference,no,screenshot exists (sketch-export-stl.png),src/engine/modelExport/stl.test.ts; i18n:dialogs.modelExport.*,/guide/verify-export/model-export-and-print/#stl,import,W5
verify.model-export-svg,verify-export,"Export design as SVG (area, content, colour)",Export model dialog,sketch-export#export-model,accurate,,reference,no,screenshot exists (sketch-export-svg.png),src/engine/modelExport/svg.test.ts,/guide/verify-export/model-export-and-print/#svg,import,W5
